"ID","Model","Sample Size (N)","AIC","AICc","Î”AICci","Wi"
140,"Gompertz",6,-12.62,-75.75,8.35,0.01
141,"Cubic",9,-12.69,-28.55,28.74,0
141,"Quadratic",9,0.9,1.63,58.92,0
141,"Gompertz",9,-25.46,-57.29,0,1
142,"Cubic",7,-15.84,-55.43,9.84,0.01
142,"Quadratic",7,0.29,0.68,65.95,0
142,"Gompertz",7,-18.65,-65.27,0,0.99
143,"Cubic",13,-23.82,-38.71,0,1
143,"Quadratic",13,1.51,2.18,40.88,0
143,"Gompertz",13,36.13,58.71,97.42,0
144,"Cubic",12,-14.57,-24.98,0,0.99
144,"Quadratic",12,-10.73,-16.1,8.88,0.01
144,"Gompertz",12,29.98,51.4,76.38,0
145,"Cubic",9,-23.3,-52.43,0,1
145,"Quadratic",9,-15.47,-27.84,24.59,0
145,"Gompertz",9,24.25,54.57,107,0
146,"Cubic",9,-25.66,-57.72,0,1
146,"Quadratic",9,-14.75,-26.54,31.18,0
146,"Gompertz",9,21.79,49.03,106.75,0
147,"Cubic",10,-28.95,-57.9,7.29,0.03
147,"Quadratic",10,-7.56,-12.6,52.59,0
147,"Gompertz",10,-32.6,-65.19,0,0.98
148,"Cubic",14,-23.49,-36.54,0,0.83
148,"Quadratic",14,-0.8,-1.12,35.42,0
148,"Gompertz",14,-21.45,-33.37,3.17,0.17
149,"Cubic",7,-15.4,-53.92,17.35,0
149,"Quadratic",7,-2.39,-5.59,65.68,0
149,"Gompertz",7,-20.36,-71.27,0,1
150,"Cubic",10,-15.41,-30.81,0,1
150,"Quadratic",10,-5.85,-9.74,21.07,0
150,"Gompertz",10,26.24,52.49,83.3,0
151,"Cubic",9,-16.31,-36.69,0,1
151,"Quadratic",9,-14.06,-25.3,11.38,0
151,"Gompertz",9,24.53,55.19,91.88,0
152,"Cubic",8,-22.27,-59.39,0,1
152,"Quadratic",8,-16.74,-33.48,25.91,0
152,"Gompertz",8,19.09,50.89,110.28,0
153,"Cubic",10,-32.05,-64.09,0,1
153,"Quadratic",10,-7.96,-13.26,50.83,0
153,"Gompertz",10,23.86,47.72,111.81,0
154,"Cubic",7,-14.33,-50.15,13.74,0
154,"Quadratic",7,-2.94,-6.86,57.03,0
154,"Gompertz",7,-18.25,-63.89,0,1
155,"Cubic",13,-36.7,-59.64,12.96,0
155,"Quadratic",13,-11.23,-16.23,56.37,0
155,"Gompertz",13,-44.68,-72.6,0,1
156,"Cubic",12,-22.12,-37.92,0,0.99
156,"Quadratic",12,-18.44,-27.66,10.25,0.01
156,"Gompertz",12,27.4,46.97,84.88,0
157,"Cubic",8,-14.65,-39.06,0,1
157,"Quadratic",8,-13.03,-26.07,12.99,0
157,"Gompertz",8,20.11,53.63,92.69,0
158,"Cubic",8,-18.5,-49.32,6.88,0.03
158,"Quadratic",8,-5.92,-11.84,44.37,0
158,"Gompertz",8,-21.08,-56.2,0,0.97
159,"Cubic",9,-22.14,-49.82,0,1
159,"Quadratic",9,-2.67,-4.81,45.01,0
159,"Gompertz",9,23.49,52.86,102.68,0
160,"Cubic",6,-9.9,-59.4,0,1
160,"Quadratic",6,-0.38,-1.13,58.27,0
160,"Gompertz",6,-0.13,-0.76,58.64,0
161,"Cubic",11,-18.16,-33.29,0,1
161,"Quadratic",11,3.65,5.74,39.04,0
161,"Gompertz",11,35.17,64.47,97.76,0
162,"Cubic",11,-12.66,-23.22,7.25,0.03
162,"Quadratic",11,-1.77,-2.78,27.69,0
162,"Gompertz",11,-16.62,-30.47,0,0.97
163,"Cubic",9,-17.08,-38.44,20.89,0
163,"Quadratic",9,-6.1,-10.97,48.35,0
163,"Gompertz",9,-26.37,-59.33,0,1
164,"Cubic",10,-40.03,-80.05,0,1
164,"Quadratic",10,-7.21,-12.02,68.03,0
164,"Gompertz",10,27.5,55,135.06,0
165,"Cubic",7,-6.74,-23.59,0,1
165,"Quadratic",7,-3.9,-9.1,14.49,0
165,"Gompertz",7,17.6,61.59,85.18,0
166,"Cubic",6,-19.68,-118.08,5.77,0.05
166,"Quadratic",6,-19.69,-59.08,64.77,0
166,"Gompertz",6,-20.64,-123.85,0,0.95
167,"Cubic",7,-45.64,-159.73,0,1
167,"Quadratic",7,-27.48,-64.11,95.62,0
167,"Gompertz",7,-16.29,-57.03,102.7,0
168,"Cubic",6,-24.27,-145.63,0,1
168,"Quadratic",6,-24.66,-73.98,71.64,0
168,"Gompertz",6,13.73,82.36,227.99,0
169,"Cubic",6,-9.4,-56.42,0,1
169,"Quadratic",6,-8.61,-25.82,30.6,0
169,"Gompertz",6,13.15,78.93,135.35,0
170,"Cubic",6,-30.51,-183.07,0,1
170,"Quadratic",6,-25.96,-77.88,105.19,0
170,"Gompertz",6,5.06,30.38,213.45,0
171,"Cubic",9,-13.77,-30.98,0,1
171,"Quadratic",9,-7.28,-13.11,17.87,0
171,"Gompertz",9,17.1,38.47,69.45,0
172,"Cubic",9,-32.82,-73.83,0,1
172,"Quadratic",9,-33.63,-60.54,13.3,0
172,"Gompertz",9,9.09,20.46,94.29,0
173,"Cubic",6,-21.31,-127.86,0,0.91
173,"Quadratic",6,-14.91,-44.72,83.14,0
173,"Gompertz",6,-20.55,-123.29,4.57,0.09
174,"Cubic",6,-16.88,-101.27,1,0.38
174,"Quadratic",6,-18.71,-56.12,46.15,0
174,"Gompertz",6,-17.05,-102.27,0,0.62
175,"Cubic",6,-25.4,-152.4,0,1
175,"Quadratic",6,-27.32,-81.95,70.45,0
175,"Gompertz",6,8.42,50.52,202.92,0
176,"Cubic",7,-9.75,-34.11,29.13,0
176,"Quadratic",7,-6.86,-16.02,47.22,0
176,"Gompertz",7,-18.07,-63.24,0,1
177,"Cubic",7,-31.13,-108.96,0,1
177,"Quadratic",7,-29.59,-69.04,39.92,0
177,"Gompertz",7,6.11,21.4,130.36,0
178,"Cubic",7,-27.3,-95.54,0,1
178,"Quadratic",7,-18.94,-44.18,51.35,0
178,"Gompertz",7,4.29,15.02,110.56,0
179,"Cubic",5,-26.43,-Inf,NA,NA
179,"Quadratic",5,-17.38,-86.91,Inf,NA
179,"Gompertz",5,12.13,Inf,Inf,NA
180,"Cubic",5,-15.75,-Inf,NA,NA
180,"Quadratic",5,-9.42,-47.12,Inf,NA
180,"Gompertz",5,15.2,Inf,Inf,NA
181,"Cubic",5,-22.28,-Inf,NA,NA
181,"Quadratic",5,-3.26,-16.31,Inf,NA
181,"Gompertz",5,-41.65,-Inf,NA,NA
182,"Cubic",7,-19.37,-67.78,0,1
182,"Quadratic",7,-15.55,-36.28,31.5,0
182,"Gompertz",7,14.08,49.27,117.05,0
183,"Cubic",7,-23.05,-80.68,0,1
183,"Quadratic",7,-21.25,-49.58,31.1,0
183,"Gompertz",7,15.56,54.46,135.14,0
184,"Cubic",7,-18.04,-63.13,0,1
184,"Quadratic",7,-14.23,-33.21,29.92,0
184,"Gompertz",7,13.26,46.4,109.53,0
185,"Cubic",5,-9.9,-Inf,NA,NA
185,"Quadratic",5,-11.42,-57.1,Inf,NA
185,"Gompertz",5,-9.7,-Inf,NA,NA
186,"Cubic",5,-24.52,-Inf,NA,NA
186,"Quadratic",5,-26.51,-132.53,Inf,NA
186,"Gompertz",5,12.31,Inf,Inf,NA
187,"Cubic",5,-20.5,-Inf,NA,NA
187,"Quadratic",5,-15.96,-79.78,Inf,NA
187,"Gompertz",5,13.28,Inf,Inf,NA
188,"Cubic",6,-20.27,-121.6,0,1
188,"Quadratic",6,-22.07,-66.21,55.38,0
188,"Gompertz",6,9.72,58.34,179.94,0
189,"Cubic",6,-21.14,-126.85,0,1
189,"Quadratic",6,-20.13,-60.38,66.47,0
189,"Gompertz",6,14.54,87.21,214.06,0
190,"Cubic",6,-8.97,-53.83,0,1
190,"Quadratic",6,-7.76,-23.26,30.56,0
190,"Gompertz",6,13.9,83.4,137.23,0
191,"Cubic",5,-60.41,-Inf,NA,NA
191,"Quadratic",5,-19.03,-95.15,Inf,NA
191,"Gompertz",5,-9.48,-Inf,NA,NA
192,"Cubic",6,-7.65,-45.9,0,1
192,"Quadratic",6,-5.91,-17.74,28.16,0
192,"Gompertz",6,16.62,99.71,145.6,0
193,"Cubic",6,-18.85,-113.13,0,1
193,"Quadratic",6,-12.11,-36.32,76.81,0
193,"Gompertz",6,-8.66,-51.97,61.16,0
194,"Cubic",7,-38.08,-133.28,0,1
194,"Quadratic",7,-32.96,-76.9,56.38,0
194,"Gompertz",7,13.03,45.59,178.87,0
195,"Cubic",7,-18.6,-65.09,0,1
195,"Quadratic",7,-19.92,-46.47,18.62,0
195,"Gompertz",7,18.21,63.73,128.82,0
196,"Cubic",7,-20.57,-71.98,0,1
196,"Quadratic",7,-20.82,-48.57,23.41,0
196,"Gompertz",7,15.8,55.28,127.27,0
197,"Cubic",6,-20.11,-120.68,0,1
197,"Quadratic",6,-12.15,-36.44,84.24,0
197,"Gompertz",6,16.32,97.92,218.6,0
198,"Cubic",7,-9.72,-34.03,0,1
198,"Quadratic",7,-0.94,-2.2,31.83,0
198,"Gompertz",7,19.87,69.56,103.59,0
199,"Cubic",4,NA,NA,NA,NA
199,"Quadratic",4,-14.52,-Inf,NA,NA
199,"Gompertz",4,NA,NA,NA,NA
201,"Cubic",4,NA,NA,NA,NA
201,"Quadratic",4,-19.82,59.47,NA,NA
201,"Gompertz",4,NA,NA,NA,NA
202,"Cubic",4,NA,NA,NA,NA
202,"Quadratic",4,-16.02,-Inf,NA,NA
202,"Gompertz",4,NA,NA,NA,NA
203,"Cubic",7,-18.42,73.68,Inf,NA
203,"Quadratic",7,-17.61,-Inf,NA,NA
203,"Gompertz",7,15.35,-61.41,Inf,NA
204,"Cubic",7,-7.3,-25.53,0,1
204,"Quadratic",7,-4.56,-10.65,14.88,0
204,"Gompertz",7,20.17,70.58,96.11,0
205,"Cubic",5,-3.74,-13.09,0,1
205,"Quadratic",5,1.35,3.15,16.24,0
205,"Gompertz",5,19.07,66.73,79.82,0
206,"Cubic",4,NA,NA,NA,NA
206,"Quadratic",4,1.08,5.39,NA,NA
206,"Gompertz",4,NA,NA,NA,NA
207,"Cubic",4,NA,NA,NA,NA
207,"Quadratic",4,-13.88,-Inf,NA,NA
207,"Gompertz",4,NA,NA,NA,NA
208,"Cubic",6,-4.28,17.11,78.46,0
208,"Quadratic",6,0.09,Inf,Inf,0
208,"Gompertz",6,15.34,-61.35,0,1
209,"Cubic",5,-18.47,-110.82,0,1
209,"Quadratic",5,-20.12,-60.36,50.45,0
209,"Gompertz",5,12.57,75.44,186.25,0
210,"Cubic",8,-32.01,-Inf,NA,NA
210,"Quadratic",8,-15.97,-79.83,Inf,NA
210,"Gompertz",8,20.36,Inf,Inf,NA
211,"Cubic",4,NA,NA,NA,NA
211,"Quadratic",4,-5.89,-11.77,NA,NA
211,"Gompertz",4,NA,NA,NA,NA
213,"Cubic",6,-13.94,55.74,127.03,0
213,"Quadratic",6,1.41,Inf,Inf,0
213,"Gompertz",6,17.82,-71.3,0,1
214,"Cubic",6,-5.1,7.66,0.25,0.47
214,"Quadratic",6,-2.47,7.4,0,0.53
214,"Gompertz",6,-11.62,17.44,10.04,0
215,"Cubic",19,-50.69,-304.11,0,1
215,"Quadratic",19,-51.1,-153.3,150.81,0
215,"Gompertz",19,32.16,192.97,497.08,0
216,"Cubic",13,-23.31,-139.86,61.77,0
216,"Quadratic",13,-19.13,-57.38,144.24,0
216,"Gompertz",13,-33.6,-201.63,0,1
217,"Cubic",7,-7.24,-9.83,1.84,0.28
217,"Quadratic",7,-9.22,-11.67,0,0.72
217,"Gompertz",7,15.36,20.85,32.52,0
218,"Cubic",10,-11.62,-18.89,34.69,0
218,"Quadratic",10,-8.14,-11.76,41.82,0
218,"Gompertz",10,-32.97,-53.57,0,1
219,"Cubic",17,-181.43,-634.99,0,1
219,"Quadratic",17,-180.26,-420.62,214.38,0
219,"Gompertz",17,-170.08,-595.29,39.71,0
220,"Cubic",13,-39.91,-79.82,61.05,0
220,"Quadratic",13,-36.13,-60.22,80.66,0
220,"Gompertz",13,-70.44,-140.87,0,1
221,"Cubic",9,-53.18,-75.34,4.57,0.09
221,"Quadratic",9,-23.27,-30.44,49.47,0
221,"Gompertz",9,-56.41,-79.91,0,0.91
222,"Cubic",14,-22.21,-36.09,0,1
222,"Quadratic",14,0.55,0.8,36.89,0
222,"Gompertz",14,25.14,40.85,76.94,0
223,"Cubic",11,-6.35,-14.29,57.52,0
223,"Quadratic",11,-0.32,-0.57,71.23,0
223,"Gompertz",11,-31.91,-71.81,0,1
224,"Cubic",16,-164.97,-256.62,0,0.98
224,"Quadratic",16,-166.22,-232.71,23.91,0
224,"Gompertz",16,-160.23,-249.25,7.38,0.02
225,"Cubic",17,-41.14,-75.43,0,1
225,"Quadratic",17,-30.57,-48.03,27.4,0
225,"Gompertz",17,32.12,58.89,134.32,0
226,"Cubic",12,-14.33,-20.85,11.59,0
226,"Quadratic",12,-16.32,-21.76,10.68,0
226,"Gompertz",12,-22.3,-32.44,0,0.99
227,"Cubic",9,-12.29,-17.4,27.75,0
227,"Quadratic",9,-13.21,-17.28,27.88,0
227,"Gompertz",9,-31.88,-45.16,0,1
228,"Cubic",10,-99.72,-170.94,0,0.82
228,"Quadratic",10,-101.18,-151.77,19.18,0
228,"Gompertz",10,-97.92,-167.87,3.08,0.18
229,"Cubic",16,-168.27,-378.61,0,1
229,"Quadratic",16,-169.66,-305.39,73.22,0
229,"Gompertz",16,-148.59,-334.33,44.28,0
230,"Cubic",17,-44.55,-89.1,13.3,0
230,"Quadratic",17,-41.16,-68.6,33.8,0
230,"Gompertz",17,-51.2,-102.4,0,1
231,"Cubic",11,-25.02,-36.39,25.12,0
231,"Quadratic",11,-21.06,-28.09,33.43,0
231,"Gompertz",11,-42.29,-61.52,0,1
232,"Cubic",8,-12.06,-17.08,20.76,0
232,"Quadratic",8,-6.58,-8.6,29.24,0
232,"Gompertz",8,-26.71,-37.84,0,1
233,"Cubic",5,-22.55,-41.34,11.93,0
233,"Quadratic",5,-11.09,-17.43,35.83,0
233,"Gompertz",5,-29.05,-53.26,0,1
234,"Cubic",8,-31.18,-83.14,95.3,0
234,"Quadratic",8,-15.32,-30.65,147.8,0
234,"Gompertz",8,-66.92,-178.44,0,1
235,"Cubic",14,-25.16,-Inf,NA,NA
235,"Quadratic",14,-22.08,-110.42,Inf,NA
235,"Gompertz",14,-56.38,-Inf,NA,NA
236,"Cubic",10,-4.95,-13.2,108.72,0
236,"Quadratic",10,-2.52,-5.05,116.87,0
236,"Gompertz",10,-45.72,-121.92,0,1
237,"Cubic",8,-19.24,-29.93,0.82,0.4
237,"Quadratic",8,-14.55,-20.37,10.38,0
237,"Gompertz",8,-19.77,-30.75,0,0.6
238,"Cubic",9,-8.89,-17.79,0,0.86
238,"Quadratic",9,-8.5,-14.17,3.62,0.14
238,"Gompertz",9,15.97,31.94,49.73,0
239,"Cubic",9,6.39,17.04,8.19,0.02
239,"Quadratic",9,4.42,8.85,0,0.98
239,"Gompertz",9,22.6,60.27,51.42,0
240,"Cubic",19,-210.37,-473.34,0,0.78
240,"Quadratic",19,-212.25,-382.05,91.29,0
240,"Gompertz",19,-209.24,-470.79,2.55,0.22
241,"Cubic",17,-60.07,-135.15,18.02,0
241,"Quadratic",17,-54.96,-98.92,54.25,0
241,"Gompertz",17,-68.08,-153.18,0,1
242,"Cubic",8,-20.87,-28.32,9.4,0.01
242,"Quadratic",8,-8.42,-10.67,27.05,0
242,"Gompertz",8,-27.8,-37.72,0,0.99
243,"Cubic",8,-10.16,-14.39,0,0.96
243,"Quadratic",8,-6.24,-8.17,6.22,0.04
243,"Gompertz",8,12.93,18.31,32.7,0
244,"Cubic",7,-5.7,-15.21,0,1
244,"Quadratic",7,1.55,3.1,18.3,0
244,"Gompertz",7,9.95,26.53,41.73,0
245,"Cubic",18,-193.59,-516.24,0,0.9
245,"Quadratic",18,-195.04,-390.07,126.17,0
245,"Gompertz",18,-191.97,-511.91,4.33,0.1
246,"Cubic",14,-28.94,-101.29,76.76,0
246,"Quadratic",14,-11.45,-26.73,151.32,0
246,"Gompertz",14,-50.87,-178.05,0,1
247,"Cubic",7,-6.55,-9.06,26.32,0
247,"Quadratic",7,-7.48,-9.62,25.77,0
247,"Gompertz",7,-25.56,-35.39,0,1
248,"Cubic",8,-18.58,-28.9,14.54,0
248,"Quadratic",8,-3.44,-4.82,38.62,0
248,"Gompertz",8,-27.92,-43.44,0,1
249,"Cubic",8,-20.93,-73.25,114.25,0
249,"Quadratic",8,-4.41,-10.29,177.21,0
249,"Gompertz",8,-53.57,-187.5,0,1
250,"Cubic",10,-22.59,-60.25,0,1
250,"Quadratic",10,-23.21,-46.43,13.82,0
250,"Gompertz",10,-10.62,-28.33,31.92,0
251,"Cubic",16,-17.26,-46.04,0,1
251,"Quadratic",16,-0.72,-1.44,44.6,0
251,"Gompertz",16,66.01,176.03,222.07,0
252,"Cubic",18,-20.6,-41.2,0,1
252,"Quadratic",18,-5.52,-9.2,32.01,0
252,"Gompertz",18,-14.17,-28.33,12.87,0
253,"Cubic",16,-18.04,-26.23,0,1
253,"Quadratic",16,-10.32,-13.76,12.48,0
253,"Gompertz",16,63.64,92.56,118.8,0
254,"Cubic",13,-17.82,-24.68,0,1
254,"Quadratic",13,-8.98,-11.54,13.13,0
254,"Gompertz",13,56.2,77.82,102.5,0
255,"Cubic",9,-30.64,-44.56,0,0.86
255,"Quadratic",9,-30.65,-40.86,3.7,0.14
255,"Gompertz",9,26.44,38.46,83.02,0
256,"Cubic",20,-57.64,-93.66,14.41,0
256,"Quadratic",20,-55.67,-80.41,27.65,0
256,"Gompertz",20,-66.5,-108.07,0,1
257,"Cubic",14,-10.61,-23.88,1.64,0.28
257,"Quadratic",14,-11.67,-21.01,4.51,0.07
257,"Gompertz",14,-11.34,-25.52,0,0.65
258,"Cubic",17,-24.73,-32.98,4.11,0.11
258,"Quadratic",17,-25.17,-31.47,5.62,0.05
258,"Gompertz",17,-27.81,-37.08,0,0.84
259,"Cubic",15,-15.59,-24.25,8.2,0.02
259,"Quadratic",15,-17.14,-23.99,8.46,0.01
259,"Gompertz",15,-20.86,-32.45,0,0.97
260,"Cubic",13,-18.17,-25.74,0,0.98
260,"Quadratic",13,-13.71,-17.93,7.81,0.02
260,"Gompertz",13,55.1,78.07,103.81,0
261,"Cubic",9,-10.22,-15.33,8.1,0.02
261,"Quadratic",9,-4.08,-5.57,17.86,0
261,"Gompertz",9,-15.62,-23.43,0,0.98
262,"Cubic",19,-26.36,-42.84,0,0.91
262,"Quadratic",19,-26.49,-38.26,4.58,0.09
262,"Gompertz",19,72.77,118.26,161.1,0
263,"Cubic",12,-4.4,-9.9,8.32,0.01
263,"Quadratic",12,-6.32,-11.38,6.84,0.03
263,"Gompertz",12,-8.1,-18.22,0,0.95
264,"Cubic",13,-22.57,-30.62,16.97,0
264,"Quadratic",13,-14.08,-17.83,29.77,0
264,"Gompertz",13,-35.07,-47.6,0,1
265,"Cubic",12,-6.38,-10.94,1.9,0.24
265,"Quadratic",12,-6.7,-10.04,2.8,0.15
265,"Gompertz",12,-7.49,-12.85,0,0.61
266,"Cubic",10,-19.28,-31.33,0,0.99
266,"Quadratic",10,-15.36,-22.19,9.15,0.01
266,"Gompertz",10,43.24,70.27,101.6,0
267,"Cubic",7,-21.63,-37.08,0,0.47
267,"Quadratic",7,-23.06,-34.58,2.49,0.14
267,"Gompertz",7,-21.43,-36.74,0.34,0.4
268,"Cubic",7,-25.95,-51.9,0,0.98
268,"Quadratic",7,-26.13,-43.55,8.35,0.01
268,"Gompertz",7,-17.46,-34.93,16.97,0
269,"Cubic",6,-34.97,-122.39,0,1
269,"Quadratic",6,-23.18,-54.08,68.31,0
269,"Gompertz",6,-25.34,-88.69,33.69,0
270,"Cubic",6,-32.57,-114,0,1
270,"Quadratic",6,-33.56,-78.31,35.69,0
270,"Gompertz",6,-5.2,-18.19,95.81,0
271,"Cubic",7,-24.09,-144.55,0,1
271,"Quadratic",7,-25.85,-77.54,67,0
271,"Gompertz",7,-10.36,-62.18,82.36,0
272,"Cubic",7,-19.76,-118.56,0,1
272,"Quadratic",7,-20.89,-62.66,55.9,0
272,"Gompertz",7,-6.74,-40.45,78.11,0
273,"Cubic",7,-32.29,-113.02,4.36,0.1
273,"Quadratic",7,-33.1,-77.23,40.15,0
273,"Gompertz",7,-33.54,-117.38,0,0.9
274,"Cubic",7,-28.57,-99.99,8.28,0.02
274,"Quadratic",7,-29.04,-67.77,40.5,0
274,"Gompertz",7,-30.93,-108.26,0,0.98
275,"Cubic",7,-5.14,-17.98,0,0.67
275,"Quadratic",7,0.64,1.5,19.49,0
275,"Gompertz",7,-4.73,-16.55,1.43,0.33
276,"Cubic",7,1.45,5.07,0,0.81
276,"Quadratic",7,3.42,7.97,2.9,0.19
276,"Gompertz",7,28.77,100.7,95.63,0
277,"Cubic",4,NA,NA,NA,NA
277,"Quadratic",4,4.3,10.03,NA,NA
277,"Gompertz",4,NA,NA,NA,NA
278,"Cubic",5,-12.92,-45.23,0,1
278,"Quadratic",5,-0.7,-1.64,43.59,0
278,"Gompertz",5,-1.3,-4.57,40.66,0
279,"Cubic",4,NA,NA,NA,NA
279,"Quadratic",4,-15.37,-Inf,NA,NA
279,"Gompertz",4,NA,NA,NA,NA
