site,speciesrichness,shannonH,phylogeneticdiversity,CWM_sla,functionality
cbs,11,2.168807643,1370.86856,180.4474239,-0.604714242
cbs,9,1.829213309,1281.55444,188.8367906,0.771165748
cbs,7,1.611220492,1055.01836,191.007714,-0.183629085
cbs,6,1.436426281,932.8019,227.0877609,-0.147342223
cbs,12,2.078507558,1435.23451,204.1043462,-0.277953878
cbs,8,1.767957551,1190.13466,157.9628211,0.364290458
cbs,13,2.246995522,1591.63374,182.4092435,0.37390124
cbs,9,1.822098874,1219.63706,205.0907968,-0.526113073
cbs,9,1.866491867,1309.30014,221.810158,-0.401503171
cbs,11,2.030946561,1102.88028,222.3175516,-1.024520548
cbs,12,1.980220469,1305.32468,173.2502657,-0.257528634
cbs,8,1.681907999,1246.99466,229.5100205,-0.247196872
cbs,10,2.083006256,1402.6994,194.0541565,-0.631524897
cbs,8,1.813897616,1198.68236,195.8062816,-0.188346525
cbs,11,2.014570942,1356.80536,189.9430756,0.639445161
cbs,12,1.880862381,1515.07444,223.0362768,-0.201723623
cbs,9,1.902416576,1268.68814,174.5590135,0.996146735
cbs,9,1.953354422,1268.68814,131.7815785,0.417000149
cbs,12,1.978040981,1511.73592,204.1926397,0.213268937
cbs,10,2.0680278,1307.85502,214.4120306,0.06058265
cbs,12,2.160237352,1484.59434,219.3487783,-0.542771624
cbs,13,2.244414394,1503.32648,192.6179278,-0.330616932
cbs,11,1.908244997,1074.94264,247.5015435,-0.73462084
cbs,10,1.919393682,1371.61576,178.3570482,-0.632145321
cbs,10,1.856270128,1417.96862,218.1677358,-0.462428667
cbs,8,1.572284839,1157.33166,212.7081936,-0.511505581
cbs,14,2.338596675,1646.19557,183.6356322,0.776667243
cbs,9,2.018448628,944.89636,230.4091735,-0.379940165
cbs,11,2.093055705,1390.94135,190.7073956,0.066957791
cbs,10,1.898700748,1344.83926,187.7407911,0.579982313
cbs,8,1.805827179,1112.64206,203.2200591,-0.211925521
cbs,7,1.634851687,1084.19874,225.6520767,0.921444507
cbs,13,2.035807603,1513.03766,192.6400931,0.207670532
cbs,15,2.198179633,1317.09666,227.9826606,-0.104269523
cbs,10,2.013563867,1357.96528,190.0612011,-0.385409519
cbs,13,2.204304037,1665.60649,184.2281514,-0.171562346
cbs,8,1.741367112,1254.31737,153.6887481,0.04386999
cbs,9,1.922758466,1147.20176,175.6846704,0.009603678
cbs,9,1.805415508,1281.55444,190.7944084,-0.869302065
cbs,17,2.164358672,1802.19347,204.4332516,0.25358703
cbs,15,2.212314579,1763.97278,166.0811852,0.211786231
cbs,10,1.796004362,1416.29514,181.8459342,-0.491400703
cbs,10,2.075859618,1416.90954,186.5474489,0.713870057
cbs,10,1.992257612,934.02768,231.9501637,-0.863168186
cbs,9,1.940173746,1171.92316,194.6181503,-0.681688555
cbs,16,2.04782356,1696.92,169.3623133,-0.032968366
cbs,12,2.136302806,1487.85603,194.996115,0.598595935
cbs,10,1.973257082,1376.29754,158.2595315,0.314620991
cbs,13,2.130268401,1591.25968,172.6199382,0.345326725
cbs,7,1.752423435,1084.19874,171.5334909,-0.266977744
cbs,12,2.275822635,1575.19616,175.3779493,0.247414499
cbs,10,1.857013713,1337.74346,215.7825523,-0.803010348
cbs,11,2.077249783,1427.0206,179.7698957,0.44544646
cbs,8,1.751318638,1163.59529,172.009898,0.115319153
cbs,10,1.751021316,1394.43747,209.9444908,0.279117613
cbs,12,1.851727844,1514.26097,187.2036493,0.087663744
cbs,15,2.241122519,1729.76372,194.0362065,0.404282469
cbs,10,1.857912252,1354.68536,162.3318257,0.001465869
cbs,14,2.375342591,1673.64932,185.205368,-0.201697219
cbs,11,2.072404767,1511.35894,181.2221178,-0.316346538
cbs,11,1.926121371,1505.57222,192.8342884,-0.150649189
cbs,10,1.850498818,1379.42371,203.2564165,-0.634386265
cbs,11,2.073679737,1446.41194,183.4876483,0.151983838
cbs,7,1.60668177,1084.19874,199.5241608,-0.417389349
cbs,12,2.079557549,1428.09942,212.3267886,-0.713652222
cbs,13,2.231218611,1592.47148,170.7151891,0.373764295
cbs,17,2.215848095,1751.85256,195.0515833,-0.051376315
cbs,12,2.219854677,1492.89554,194.5627121,-0.363875752
cbs,13,2.084788368,1500.88067,184.5501615,0.19571097
cbs,10,1.924653313,1109.39478,209.3073359,-0.133573763
cbs,13,1.99678683,1560.93288,186.5759086,-0.467359668
cbs,12,2.148666278,1639.43382,211.6749129,0.625409047
cbs,8,1.7514211,1190.13466,196.2728278,-0.436905952
cbs,9,1.74259513,1218.57798,237.2836621,-0.097410836
cbs,9,1.658569385,1309.30014,211.0073764,-0.038872175
cbs,10,1.645426039,1416.90956,190.3107457,-0.104862303
cbs,14,2.094630086,1388.38996,215.171237,0.29851038
cbs,15,2.405484172,1382.56814,225.9533671,-0.106368492
cbs,10,1.944224289,1375.68314,189.0424462,0.154955947
cbs,10,1.901081429,1393.37853,198.695973,-0.137750691
cbs,12,2.002066041,1474.00824,194.1694882,-0.022207089
cbs,18,2.419154626,1801.69416,201.4395675,0.198439322
cbs,16,2.198316642,1817.15395,205.0279824,0.135164086
cbs,10,1.777125947,1051.34202,222.8993918,-0.250050181
cbs,12,2.147911509,1478.47796,169.9219155,0.163489913
cbs,8,1.612733531,1169.50214,193.0428827,0.507780214
cbs,14,2.078108848,1563.9829,217.9704488,-0.047205514
cbs,13,2.07758332,1606.78945,216.8756654,-0.008339349
cbs,9,1.683813438,1328.24016,182.2714342,0.278524501
cbs,11,1.888006806,1523.90454,165.3064035,0.59299521
cbs,12,2.191856599,1541.1536,206.4144988,0.264297928
cbs,10,2.06075107,1389.16384,172.4858205,0.142218533
cbs,9,1.9365979,1218.578,188.9948419,-0.285260868
cbs,13,2.211854273,1485.5539,187.7999681,-0.217683661
cbs,13,2.173918635,1563.28528,203.535982,0.137621493
cbs,13,1.939136559,1574.04126,181.1098173,0.322206688
cbs,11,2.11610668,1593.65083,207.0760375,-0.088898391
cbs,11,1.937680797,1443.51336,187.0041762,-0.019929178
cbs,15,2.008718183,1669.96438,197.8555293,0.322593059
cbs,13,1.874509129,1549.42444,215.485383,0.101753879
cbs,12,1.868426241,1512.83058,179.4350881,0.307353106
cbs,14,1.983357149,1604.94931,187.3182761,0.968457939
cbs,10,1.697668322,1020.30694,239.3597262,-0.273537652
cbs,13,2.026352549,1705.68004,190.817789,0.066843662
cbs,11,1.914316661,1360.13268,205.0782657,-0.245894201
cbs,13,1.821713588,1567.75496,190.0848995,0.295990505
cbs,16,1.995939662,1878.28479,183.156801,0.233600197
cbs,10,1.96050966,1007.0971,221.9938864,0.396354184
cbs,9,1.488640713,1236.48924,190.0912004,0.214720532
cbs,14,2.160746941,1562.98834,188.3315259,0.237480328
cbs,13,1.885026171,1640.46138,189.7196376,0.801229352
cbs,12,1.684987901,1547.9559,201.6816079,-0.00470927
cbs,13,1.961865316,1634.87498,192.1896484,-0.004416471
cbs,10,1.872906505,1253.50094,192.7137378,-0.016987137
cbs,9,1.833079525,1219.63706,205.8102912,-0.188461701
cbs,14,2.026894011,1635.42793,205.1644487,0.325865624
cbs,14,2.375928993,1662.15461,174.9797975,-0.342425964
cbs,14,1.867699942,1767.31423,209.0122145,0.072176092
cbs,10,1.988691016,1199.30808,206.7655576,-0.239894807
cbs,12,2.199669735,1489.91388,207.9530567,0.448202208