plot,species,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,1973,1975,1976,1974
1a,Holcus lanatus,0.68,1.28,2.74,2.87,0.78,1.77,0.1,4.48,1.59,7.93,0,0,0,0
1b,Holcus lanatus,0.17,0.34,10.65,3.26,0.06,4.12,0.18,0.16,5.51,6.29,0,0,0,0
1c,Holcus lanatus,0,0.04,0,0,0.05,0,0,0,0.67,0.12,1.3,0,0,0
2/2a,Holcus lanatus,0,0,0,0,0,0.66,0.55,0.02,1.4,3.83,0,0,0,0
2/2b,Holcus lanatus,0,0,0,0,0,2.68,6.58,3.78,1.25,0.19,0,0,0,0
2/2c,Holcus lanatus,0,0,0,0,0,0.39,0,0.08,0.52,0.02,0,0,0,0
2/2d,Holcus lanatus,0,0,0,0,0,0.07,0.06,0.12,0,0.95,0,0,0,0
3a,Holcus lanatus,0.3,0.69,1.16,2.16,0.88,0.61,0.19,0.05,1.83,5.71,0,0,0,0
3b,Holcus lanatus,1.47,0.18,1.85,2.74,2.86,4.02,0.69,0.19,3.86,3.09,0,4.3,1.8,0
3c,Holcus lanatus,0.05,0.26,0.52,0.3,0.55,0,0,0.34,0.31,0.08,0,0,0,0
3d,Holcus lanatus,1.73,0.69,2.66,0.35,5.56,0.07,0,0.04,2.27,0.56,0,1.5,0.9,0
4/1a,Holcus lanatus,2.43,0.64,3.22,3.88,2.66,3.29,3.66,0.73,3.3,2.27,0,0,0,0
4/1b,Holcus lanatus,3.03,3.49,4.46,4.01,8.06,7.16,2.34,1.07,6.41,6.62,0,0,0,0
4/1c,Holcus lanatus,4.97,2.59,4.44,5.73,10.61,5.69,0,1.93,0.79,2.59,0,0,0,0
4/1d,Holcus lanatus,5.27,3.76,9.78,4.91,4.92,5.06,3.61,3.62,3.88,4.9,0,0,0,0
4/2a,Holcus lanatus,0,0,0,0.82,2.05,39.99,0.69,1.11,0,3.48,0,0,0,2.2
4/2b,Holcus lanatus,0,2.24,2.23,0,0,43.24,0,0,0.38,2.38,0,0,0,1.5
4/2c,Holcus lanatus,0,3.16,5.04,2.08,1.55,0.82,0,2.12,0,1.26,2.7,0,0,0
4/2d,Holcus lanatus,8.59,0,0,0,0,0,0,0,0,0,0,0,0,0
7a,Holcus lanatus,6.79,6.84,4.43,3.42,4.61,3.22,4.04,3.51,4.85,6.12,0,0,0,0
7b,Holcus lanatus,3.82,12.12,6.23,1.93,3.24,3.52,9.86,9.13,11.51,17.18,0,2.5,0,0
7c,Holcus lanatus,0,1.49,12.91,13.01,4.68,0.97,0.6,0.18,2.25,8.36,0,0,0,0
7d,Holcus lanatus,1.06,1.24,8.12,9.23,3.15,2.29,0,0.42,0.84,0.93,0,6.5,6.4,0
8a,Holcus lanatus,3.47,5.55,8.11,5.83,6.61,6.12,1.29,2.84,4.81,9.21,0,0,0,0
8b,Holcus lanatus,3.29,2.58,5.21,1.89,0.97,5.57,2.05,3.2,2.14,6.69,0,5.6,0,0
8c,Holcus lanatus,2.01,4.35,6.29,6.9,5.01,4.29,0.18,1.68,2.57,1.89,0,0,0,0
8d,Holcus lanatus,7.16,2.22,13.17,10.24,2.25,5.57,0.24,1.82,8.42,9.48,0,16.7,0,0
9/2a,Holcus lanatus,20.18,19.16,28.47,13.77,23.15,11.3,11.93,11.2,12.67,19.34,0,0,0,0
9/2b,Holcus lanatus,19.96,20.91,15.73,7.7,8.32,7.21,12.15,12.66,17.11,20.29,0,0,0,0
9/2c,Holcus lanatus,10.32,19.49,13.18,0.18,13.9,7.02,1.1,1.1,1.38,10.32,0,0,0,0
9/2d,Holcus lanatus,0.37,3.33,23.87,12.02,25.62,24.72,18.23,26.06,35.08,15.52,0,0,0,0
10a,Holcus lanatus,2.32,1.88,9.63,5,3.13,8.19,4.88,3.45,8.46,13.38,0,0,0,3.9
10b,Holcus lanatus,5.31,1.67,8.8,4,4.38,0.15,0.06,1.09,3.12,3.36,0,0,0,6.8
10c,Holcus lanatus,6.73,1.37,3.06,14.09,0.4,0.35,0.17,2.28,0.88,2.23,21.2,0,0,0
10d,Holcus lanatus,0,0,2.61,1.59,6.88,0.88,7.16,20.55,37.11,24.1,0.1,0,0,0
11/1a,Holcus lanatus,5.86,0.02,20.53,1.46,18.21,6.13,2.83,4.12,11.63,15.55,0,0,0,21.8
11/1b,Holcus lanatus,20.69,10.47,10.62,4.72,18.12,4.52,0.32,2.39,18.46,21.92,0,0,0,7.1
11/1c,Holcus lanatus,75.14,9.64,43.55,8.11,19.88,13.38,1.19,11.67,34.61,47.94,36.7,0,0,0
11/1d,Holcus lanatus,99.58,100,100,100,100,99.76,100,100,100,99.87,94.9,0,0,0
11/2a,Holcus lanatus,1.53,5.98,9.23,4.98,1.49,0.79,0,3.82,4.17,9.02,0,0,0,10.6
11/2b,Holcus lanatus,2.2,12.57,19.92,7.02,3.91,0.41,1.89,0.51,35.2,24.64,0,0,0,2.8
11/2c,Holcus lanatus,25.77,38.27,11.47,3.25,15.83,0.4,0.04,6.92,10.98,18.22,30.9,0,0,0
11/2d,Holcus lanatus,100,99.87,100,98.42,96.9,100,91.32,99.43,83.74,96.51,98.1,0,0,0
12a,Holcus lanatus,0.99,2.14,3.1,6.26,2,1.17,0.13,0.34,0.86,2.63,0,0,0,0
12b,Holcus lanatus,0,0.37,1.9,3.57,1.62,1.05,0.5,0.4,0.32,1.41,0,0,0,0
12c,Holcus lanatus,1.02,0.11,0.48,0.7,0.84,0.55,0,0.76,0.56,0.63,0,0,0,0
12d,Holcus lanatus,0.54,0.23,0.21,1.16,0.08,0.06,0.19,0.04,0.48,1.14,0,0,0,0
14/2a,Holcus lanatus,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0
14/2b,Holcus lanatus,0,0,1.04,0,0,0,0.88,0,0.32,0.24,0,0,0.1,0
14/2c,Holcus lanatus,0,0,0,0.12,0,0,0,0,2.03,5.87,0,0,0,0
14/2d,Holcus lanatus,2.37,0,0.41,0.86,0,0.24,0.63,0.82,11.87,16.1,0,0.4,0.1,0
15a,Holcus lanatus,1.03,0.03,0,0.32,0.14,0.91,0,0.74,3.83,1.14,0,0,0,0
15b,Holcus lanatus,0.21,0.09,12.1,6.62,1.81,3.11,5.38,2.72,3.68,12.05,0,0,0,0
15c,Holcus lanatus,2.06,0,10.12,4.57,0,6.2,0.1,0,1.48,7.03,0,0,0,0
15d,Holcus lanatus,0.47,0.07,2.33,0.62,2.04,0,0,0,0,0.7,0,0,0,0
16a,Holcus lanatus,2.68,0,1.99,0,0,0.07,0,0,2.75,0.86,0,0,0,0
16b,Holcus lanatus,0,0.33,2.25,0.07,0.35,2.2,0.65,0.01,0.47,17.22,0,0.4,0,0
16c,Holcus lanatus,0,0.03,3.48,3.89,7.61,1.98,0.12,0.15,3.8,12.51,0,0,0,0
16d,Holcus lanatus,1.61,0.28,5.7,3.55,8.84,5.28,1.11,1.01,5.76,8.01,0,3,0,0
17a,Holcus lanatus,0.19,0,2.76,2.04,0.21,1.46,0,0.02,2.72,1.05,0,0,0,0
17b,Holcus lanatus,2.11,2.45,2.54,1.42,1.18,1.36,1.21,0.36,0.91,1.47,0,3.8,0,0
17c,Holcus lanatus,1.08,1.67,0.75,1.36,0.49,0.7,0.06,0.22,1.13,1.4,0,0,0,0
17d,Holcus lanatus,1.46,3.44,5.81,3.67,1.82,3.85,0.99,2.02,5.93,3.32,0,2.7,0,0
18a,Holcus lanatus,0.1,0,0,0.41,0.2,0.58,0,0,0,0.62,0,0,0,0
18b,Holcus lanatus,0.03,0,0.66,0.37,0.07,0,0,1.45,0.32,2.13,0,0,0,0
18c,Holcus lanatus,0.95,6.84,13.87,7.69,3.05,6.9,2.56,1.48,8.93,9.95,0.8,0,0,0
18d,Holcus lanatus,0.51,6.17,11.68,0.42,0,0.54,0,0,0,0.46,0,0,0,0